duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1603,0,0,0,0,1,0,0
330,0,0,0,0,0,0,1
3657,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
91,0,0,0,0,1,0,0
170,0,0,0,0,0,0,1
260,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
2554,0,0,0,0,1,0,0
101,0,0,0,0,0,0,1
390,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
581,0,0,0,0,1,0,0
90,0,0,0,0,0,0,1
411,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
3656,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
2916,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0
330,0,0,0,0,0,0,1
1803,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
611,0,0,0,0,1,0,0
150,0,0,0,0,0,0,1
281,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
3526,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
1392,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
962,0,0,0,0,1,0,0
1152,0,0,0,0,0,0,1
1082,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
621,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
1803,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
711,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
1243,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
9848,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
4769,0,0,0,0,1,0,0
180,0,0,0,0,0,0,1
531,0,0,0,0,1,0,0
131,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
120,0,0,0,0,0,0,1
2905,0,0,0,0,1,0,0
70,0,0,0,0,0,0,1
642,0,0,0,0,1,0,0
70,0,0,0,0,0,0,1
130,0,0,0,0,1,0,0
531,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
390,0,0,0,0,0,0,1
170,0,1,0,0,0,0,0
40,0,0,0,0,0,0,1
80,0,1,0,0,0,0,0
511,0,0,0,0,0,0,1
100,0,1,0,0,0,0,0
191,0,0,0,0,0,0,1
150,0,1,0,0,0,0,0
1032,0,0,0,0,1,0,0
812,0,1,0,0,0,0,0
120,0,0,0,0,0,0,1
621,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
4097,0,0,0,0,1,0,0
411,0,1,0,0,0,0,0
20,0,0,0,0,0,0,1
902,0,1,0,0,0,0,0
1683,0,0,0,0,0,0,1
3015,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
61,0,1,0,0,0,0,0
100,0,0,0,0,0,0,1
50,0,1,0,0,0,0,0
531,0,0,0,0,0,0,1
