duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
631,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
110,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
671,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
190,0,0,0,0,1,0,0
150,0,0,0,0,0,0,1
201,0,0,0,0,1,0,0
1112,0,0,1,0,0,0,0
20,0,0,0,0,0,0,1
872,0,0,0,0,0,1,0
571,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
361,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
390,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
500,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
50,0,0,0,0,1,0,0
100,0,0,0,0,0,0,1
751,0,0,0,0,1,0,0
151,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
591,0,0,0,0,0,1,0
370,0,0,0,0,0,0,1
181,0,0,0,0,1,0,0
80,0,0,0,0,0,0,1
361,0,0,0,0,1,0,0
