duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
150,0,0,0,0,0,0,1
732,0,1,0,0,0,0,0
310,0,0,0,1,0,0,0
131,0,1,0,0,0,0,0
1132,0,0,0,0,0,1,0
210,0,1,0,0,0,0,0
150,0,0,0,0,0,1,0
120,0,0,0,0,1,0,0
1663,1,0,0,0,0,0,0
1613,0,0,0,0,0,0,1
271,0,0,0,0,0,1,0
200,0,0,0,1,0,0,0
691,0,0,0,0,0,0,1
350,0,0,0,0,0,1,0
160,0,0,0,0,0,0,1
631,0,0,0,1,0,0,0
481,0,1,0,0,0,0,0
651,0,0,0,0,0,0,1
221,0,0,0,1,0,0,0
260,0,1,0,0,0,0,0
892,1,0,0,0,0,0,0
281,0,1,0,0,0,0,0
390,0,0,0,0,0,1,0
511,0,1,0,0,0,0,0
290,0,0,0,0,0,1,0
1653,0,1,0,0,0,0,0
201,0,0,0,0,0,1,0
3015,0,1,0,0,0,0,0
251,0,0,0,0,0,1,0
331,0,1,0,0,0,0,0
711,1,0,0,0,0,0,0
371,0,0,0,1,0,0,0
290,1,0,0,0,0,0,0
1283,0,1,0,0,0,0,0
751,1,0,0,0,0,0,0
130,0,0,0,0,1,0,0
311,0,0,0,1,0,0,0
280,1,0,0,0,0,0,0
401,0,1,0,0,0,0,0
371,0,0,0,0,0,1,0
861,0,1,0,0,0,0,0
330,0,0,0,0,0,1,0
2094,0,1,0,0,0,0,0
