duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
231,0,0,0,0,0,1,0
5079,0,1,0,0,0,0,0
41,0,0,0,0,0,0,1
782,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
251,0,0,0,0,1,0,0
200,0,0,0,0,0,0,1
701,0,0,0,0,1,0,0
291,0,0,0,0,0,1,0
1573,0,0,0,0,1,0,0
501,0,0,0,0,0,0,1
120,0,0,0,0,1,0,0
261,0,0,0,0,0,0,1
1022,0,1,0,0,0,0,0
2014,0,0,0,0,0,0,1
1012,0,1,0,0,0,0,0
591,0,0,0,0,1,0,0
171,0,0,0,0,0,0,1
230,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
201,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
1903,0,0,0,0,1,0,0
401,0,0,0,0,0,0,1
271,0,0,0,0,0,1,0
821,0,0,0,0,1,0,0
