duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
862,0,0,0,0,0,1,0
581,0,1,0,0,0,0,0
591,0,0,0,1,0,0,0
861,0,0,1,0,0,0,0
281,0,1,0,0,0,0,0
311,0,0,0,0,0,1,0
210,1,0,0,0,0,0,0
2585,0,1,0,0,0,0,0
411,0,0,0,0,0,0,1
311,0,0,0,0,0,1,0
671,0,1,0,0,0,0,0
1563,0,0,0,0,0,0,1
1513,0,1,0,0,0,0,0
651,0,0,0,0,0,0,1
531,0,0,1,0,0,0,0
641,0,0,0,0,0,1,0
191,1,0,0,0,0,0,0
210,0,1,0,0,0,0,0
361,0,0,0,0,0,0,1
631,0,0,0,0,0,1,0
2014,0,1,0,0,0,0,0
411,0,0,1,0,0,0,0
491,0,1,0,0,0,0,0
3937,0,0,0,0,0,0,1
782,1,0,0,0,0,0,0
461,0,0,0,0,0,0,1
311,0,0,1,0,0,0,0
1282,0,0,0,0,1,0,0
271,1,0,0,0,0,0,0
1152,0,0,0,0,0,0,1
1082,0,0,0,0,1,0,0
2815,0,0,0,0,0,0,1
400,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1
81,1,0,0,0,0,0,0
40,0,0,0,0,0,0,1
731,1,0,0,0,0,0,0
2194,0,0,0,0,0,0,1
4248,0,0,1,0,0,0,0
