duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
280,0,0,0,0,0,0,1
981,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
240,0,0,0,0,0,1,0
210,0,0,0,0,1,0,0
120,0,0,0,0,0,0,1
81,0,0,0,0,1,0,0
310,0,0,0,0,0,0,1
141,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
100,0,0,0,0,0,1,0
61,0,0,0,0,1,0,0
1733,0,0,0,0,0,1,0
160,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
511,0,0,0,0,0,1,0
1243,0,0,0,0,0,0,1
391,0,0,0,0,1,0,0
141,0,0,0,0,0,1,0
80,0,0,0,0,1,0,0
1112,0,0,0,0,0,0,1
361,0,0,0,0,0,1,0
130,0,0,0,0,0,0,1
1163,0,0,0,0,1,0,0
