duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
241,0,0,0,0,0,1,0
140,0,0,0,0,0,0,1
641,1,0,0,0,0,0,0
1743,0,0,0,0,0,1,0
280,0,1,0,0,0,0,0
602,0,0,0,0,0,0,1
3676,0,0,0,0,0,1,0
1152,1,0,0,0,0,0,0
691,0,0,0,1,0,0,0
611,0,0,0,0,1,0,0
301,0,0,0,0,0,1,0
1022,1,0,0,0,0,0,0
250,0,0,0,0,1,0,0
2755,0,0,0,0,0,1,0
631,0,0,1,0,0,0,0
661,0,1,0,0,0,0,0
441,0,0,0,0,0,1,0
601,0,0,0,0,0,0,1
401,0,1,0,0,0,0,0
3857,0,0,0,0,0,1,0
822,1,0,0,0,0,0,0
731,0,0,0,0,0,1,0
1573,1,0,0,0,0,0,0
