duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
5960,0,0,0,0,0,1,0
531,0,0,0,0,0,0,1
4688,0,0,0,0,0,1,0
1583,0,0,0,0,1,0,0
3626,0,0,0,0,0,1,0
391,0,0,0,0,1,0,0
361,0,0,0,0,0,1,0
1493,0,0,0,0,0,0,1
2634,0,0,0,0,0,1,0
381,0,0,0,0,0,0,1
2905,0,0,0,0,0,1,0
2504,0,0,0,0,0,0,1
2245,0,0,0,0,0,1,0
681,0,0,0,0,0,0,1
1272,0,0,0,0,0,1,0
1432,0,0,0,0,0,0,1
1633,0,0,0,0,0,1,0
1253,0,0,0,0,0,0,1
1773,0,0,0,0,0,1,0
812,0,0,0,0,1,0,0
410,0,0,0,0,0,1,0
651,0,0,0,0,0,0,1
4678,0,0,0,0,0,1,0
1593,0,0,0,0,0,0,1
471,0,0,0,0,0,1,0
381,0,0,0,0,1,0,0
140,0,0,0,0,0,0,1
170,0,1,0,0,0,0,0
4218,0,0,1,0,0,0,0
390,0,0,0,0,0,0,1
1132,0,1,0,0,0,0,0
400,0,0,0,0,0,0,1
341,0,0,0,1,0,0,0
501,0,0,1,0,0,0,0
822,0,0,0,0,0,1,0
461,0,0,0,0,0,0,1
1392,0,0,0,0,0,1,0
1132,0,0,0,0,0,0,1
541,0,0,1,0,0,0,0
421,0,1,0,0,0,0,0
330,0,0,1,0,0,0,0
1853,0,0,0,0,0,1,0
661,0,0,0,0,1,0,0
