duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
671,0,0,0,0,1,0,0
731,0,0,0,0,0,1,0
330,0,0,0,0,1,0,0
230,0,0,0,0,0,0,1
221,0,0,1,0,0,0,0
410,0,0,0,0,0,0,1
922,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
170,0,0,0,0,0,1,0
10,0,0,0,0,0,0,1
120,0,0,0,0,0,1,0
200,0,0,0,0,0,0,1
491,0,0,0,0,0,1,0
1653,0,0,0,0,1,0,0
932,0,0,0,0,0,0,1
611,0,0,0,0,0,1,0
411,0,0,0,0,1,0,0
320,0,0,0,0,0,1,0
221,0,0,0,0,0,0,1
711,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
220,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
1202,0,0,0,0,1,0,0
40,0,0,0,0,0,0,1
921,0,0,0,0,1,0,0
121,0,0,0,0,0,0,1
180,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
361,0,0,0,0,1,0,0
621,0,0,0,0,0,1,0
2184,0,0,0,0,1,0,0
201,0,0,0,0,0,0,1
1943,0,0,0,0,1,0,0
