duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
40,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
481,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
1353,0,0,0,0,1,0,0
260,0,0,0,0,0,0,1
321,0,0,0,0,1,0,0
80,0,0,0,0,0,0,1
641,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
561,0,0,0,0,1,0,0
21,0,0,0,0,0,0,1
410,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
181,0,0,0,0,1,0,0
110,0,0,0,0,0,0,1
491,0,0,0,0,1,0,0
100,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
80,0,0,0,0,0,0,1
141,0,0,0,0,1,0,0
90,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
361,0,0,0,0,1,0,0
120,0,0,0,0,0,0,1
170,0,0,0,0,1,0,0
531,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
340,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
91,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
801,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
251,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
180,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
852,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
260,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
150,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
171,0,0,0,0,1,0,0
190,0,0,0,0,0,0,1
50,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
490,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
501,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
691,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
301,0,0,0,0,1,0,0
571,0,0,0,0,0,0,1
150,0,0,0,0,1,0,0
40,0,0,0,0,0,0,1
141,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
400,0,0,0,0,1,0,0
61,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
951,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
210,0,0,0,0,1,0,0
241,0,0,0,0,0,0,1
381,0,0,0,0,1,0,0
230,0,0,0,0,0,0,1
241,0,0,0,0,1,0,0
80,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
110,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0
862,0,0,0,0,0,0,1
