duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
81,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
471,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
150,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
1894,0,0,0,0,0,1,0
10,0,0,0,0,0,0,1
140,0,0,0,0,0,1,0
220,0,0,0,0,1,0,0
2435,0,0,0,0,0,1,0
100,0,0,0,0,0,0,1
331,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
1684,0,0,0,0,0,1,0
941,0,0,0,0,0,0,1
460,0,0,0,0,0,1,0
991,0,0,0,0,0,0,1
1222,0,0,0,0,0,1,0
10,0,0,0,0,0,0,1
1823,0,0,0,0,0,1,0
50,0,0,0,0,0,0,1
3076,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
1062,0,0,0,0,0,1,0
441,0,0,0,0,1,0,0
70,0,0,0,0,0,0,1
170,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
30,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
