duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
581,0,0,0,0,1,0,0
3376,0,0,0,0,0,1,0
2224,0,0,0,0,0,0,1
1543,0,0,0,0,0,1,0
130,0,0,0,0,1,0,0
821,0,0,0,0,0,1,0
1012,0,0,0,0,1,0,0
511,0,0,0,0,0,1,0
941,0,0,0,0,1,0,0
1253,0,0,0,0,0,1,0
1352,0,0,0,0,1,0,0
591,0,0,0,0,0,1,0
1383,0,0,0,0,1,0,0
140,0,0,0,0,0,0,1
51,0,1,0,0,0,0,0
190,0,0,0,0,0,0,1
100,0,1,0,0,0,0,0
300,0,0,0,0,0,0,1
861,0,0,0,0,1,0,0
340,1,0,0,0,0,0,0
270,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0
681,0,0,0,0,0,0,1
161,0,0,0,0,0,1,0
210,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
191,0,0,0,0,1,0,0
370,0,0,0,0,0,1,0
531,0,0,0,0,1,0,0
140,0,0,0,0,0,1,0
1292,0,0,0,0,0,0,1
260,0,0,0,0,1,0,0
4408,0,0,0,0,0,0,1
81,1,0,0,0,0,0,0
170,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
190,0,0,0,0,0,1,0
501,0,0,0,0,1,0,0
240,0,0,0,0,0,1,0
1523,0,0,0,0,1,0,0
320,0,0,0,0,0,0,1
931,0,0,0,0,1,0,0
652,0,0,0,0,0,1,0
691,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
3176,0,0,0,0,1,0,0
210,0,0,0,0,0,1,0
40,0,0,0,0,0,0,1
90,0,0,0,0,0,1,0
291,0,0,0,0,1,0,0
410,0,0,0,0,0,0,1
1673,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
751,0,0,0,0,0,1,0
801,0,0,0,0,0,0,1
240,0,0,0,0,1,0,0
291,0,0,0,0,0,0,1
451,0,0,0,0,0,1,0
400,0,0,0,0,0,0,1
201,1,0,0,0,0,0,0
71,0,0,0,0,1,0,0
1663,0,0,0,0,0,1,0
