duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
932,0,0,0,0,1,0,0
1062,0,0,0,0,0,1,0
260,0,0,0,0,1,0,0
772,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
3727,0,0,0,0,0,1,0
130,0,0,0,0,0,0,1
4218,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
2214,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
1262,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
3015,0,0,0,0,0,1,0
180,0,0,0,0,0,0,1
391,0,1,0,0,0,0,0
1653,0,0,0,0,0,0,1
70,1,0,0,0,0,0,0
2164,0,0,0,0,0,0,1
881,1,0,0,0,0,0,0
20,0,0,0,0,0,0,1
210,0,0,0,0,1,0,0
1834,0,0,0,0,0,1,0
150,0,0,0,0,0,0,1
220,1,0,0,0,0,0,0
461,0,1,0,0,0,0,0
2775,0,0,0,0,0,0,1
360,0,0,0,0,1,0,0
4017,0,0,0,0,0,0,1
