duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1724,0,0,0,0,1,0,0
1813,0,0,0,0,0,1,0
130,0,1,0,0,0,0,0
1303,0,0,1,0,0,0,0
651,0,1,0,0,0,0,0
1944,0,0,0,0,0,1,0
832,0,0,0,0,0,0,1
1843,0,0,0,0,0,1,0
281,0,0,0,0,1,0,0
751,0,0,0,0,0,0,1
220,0,0,0,0,0,1,0
3096,0,0,0,0,1,0,0
671,0,0,0,0,0,1,0
281,0,0,0,0,0,0,1
1372,0,0,0,0,0,1,0
520,0,0,0,0,0,0,1
1993,0,0,0,0,1,0,0
1593,0,0,0,0,0,1,0
521,0,1,0,0,0,0,0
661,0,0,0,0,0,1,0
802,0,0,0,0,1,0,0
962,0,0,0,0,0,1,0
2484,0,1,0,0,0,0,0
672,0,0,0,0,1,0,0
1342,0,0,0,0,0,1,0
1373,0,1,0,0,0,0,0
230,0,0,1,0,0,0,0
1893,0,0,0,0,0,1,0
150,0,0,0,0,1,0,0
