duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
381,0,0,0,0,0,0,1
2244,0,1,0,0,0,0,0
2154,0,0,0,0,0,0,1
160,0,0,0,0,1,0,0
311,0,0,0,0,0,1,0
741,0,0,0,0,0,0,1
561,0,0,0,0,0,1,0
150,0,0,0,0,1,0,0
1082,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
170,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
781,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
2805,0,0,0,0,0,1,0
130,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0
1753,0,0,0,0,0,0,1
631,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
281,0,1,0,0,0,0,0
3025,0,0,0,0,0,0,1
731,0,0,0,0,0,1,0
411,0,0,0,0,0,0,1
511,0,0,0,0,0,1,0
210,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
180,0,0,0,0,1,0,0
221,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
50,0,0,0,0,0,1,0
451,0,0,0,0,0,0,1
992,0,0,0,0,0,1,0
90,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
852,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
621,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
50,0,0,0,0,0,1,0
3085,0,0,0,0,0,0,1
661,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
491,0,0,0,0,0,1,0
351,0,0,0,0,1,0,0
441,0,0,0,0,0,0,1
491,0,0,0,0,0,1,0
5600,0,0,0,0,0,0,1
631,0,0,0,0,0,1,0
2074,0,0,0,0,0,0,1
1303,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
832,0,0,0,0,0,1,0
