duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
461,0,0,0,1,0,0,0
491,0,0,0,0,0,0,1
201,0,1,0,0,0,0,0
130,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0
30,0,0,0,0,0,0,1
50,0,1,0,0,0,0,0
10,0,0,0,0,0,0,1
1834,1,0,0,0,0,0,0
1142,0,0,0,0,0,0,1
90,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
351,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
110,0,1,0,0,0,0,0
631,0,0,0,0,0,0,1
151,0,0,0,0,1,0,0
531,0,0,0,0,0,0,1
260,0,1,0,0,0,0,0
70,0,0,0,0,0,0,1
191,0,1,0,0,0,0,0
430,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
881,0,0,0,0,0,0,1
141,0,1,0,0,0,0,0
5279,0,0,0,0,0,0,1
702,0,1,0,0,0,0,0
