duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
10,0,0,0,0,0,0,1
450,0,0,0,0,0,1,0
120,0,1,0,0,0,0,0
781,0,0,1,0,0,0,0
611,0,1,0,0,0,0,0
41,0,0,0,0,0,0,1
101,0,1,0,0,0,0,0
551,1,0,0,0,0,0,0
291,0,0,0,1,0,0,0
881,0,0,0,0,0,0,1
190,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
751,0,0,0,0,1,0,0
31,0,0,0,0,0,0,1
150,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
351,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
270,0,0,0,0,1,0,0
912,0,0,1,0,0,0,0
291,0,1,0,0,0,0,0
50,0,0,0,0,0,0,1
2114,0,0,0,0,1,0,0
40,0,0,0,0,0,0,1
160,0,0,0,0,0,1,0
251,0,1,0,0,0,0,0
240,1,0,0,0,0,0,0
1433,0,0,0,0,0,0,1
431,0,1,0,0,0,0,0
391,1,0,0,0,0,0,0
1192,0,0,0,0,0,0,1
90,0,0,0,0,0,1,0
271,0,0,0,0,0,0,1
300,0,0,0,0,1,0,0
61,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0
1713,0,0,0,0,0,0,1
141,0,0,0,0,1,0,0
70,0,0,0,0,0,0,1
150,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
111,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
711,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
391,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
211,0,0,0,0,1,0,0
40,0,0,0,0,0,0,1
170,0,0,0,0,1,0,0
191,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
431,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
230,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
1132,0,0,0,0,1,0,0
100,1,0,0,0,0,0,0
221,0,0,0,0,0,0,1
681,0,0,1,0,0,0,0
30,0,0,0,0,0,0,1
1182,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
190,0,0,0,0,1,0,0
230,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
751,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
321,0,0,0,0,0,1,0
440,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
110,0,0,0,0,0,1,0
110,0,0,0,0,0,0,1
50,0,0,0,0,0,1,0
10,0,0,0,0,0,0,1
110,0,0,0,0,0,1,0
60,0,0,0,0,0,0,1
150,0,0,0,0,1,0,0
621,0,0,0,0,0,1,0
81,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
70,0,0,0,0,0,0,1
411,0,0,0,0,1,0,0
250,0,0,0,0,0,0,1
431,0,0,0,0,1,0,0
110,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
190,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
90,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
361,0,0,0,0,0,0,1
341,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
270,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
121,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0
341,0,1,0,0,0,0,0
310,1,0,0,0,0,0,0
341,0,1,0,0,0,0,0
