duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
4458,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
451,0,0,0,0,1,0,0
441,0,0,0,0,0,1,0
1162,0,0,1,0,0,0,0
1573,0,0,0,0,1,0,0
711,0,0,0,0,0,1,0
581,0,0,0,0,1,0,0
711,0,0,0,0,0,1,0
1002,0,0,0,0,1,0,0
511,0,0,0,0,0,1,0
611,0,0,0,0,1,0,0
701,0,0,0,0,0,0,1
661,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
180,0,0,0,0,0,1,0
240,0,0,0,0,0,0,1
201,0,0,0,0,0,1,0
631,0,0,0,0,1,0,0
431,0,0,0,0,0,1,0
1072,0,0,0,0,1,0,0
231,0,0,0,0,0,1,0
40,0,0,0,0,0,0,1
311,0,0,0,0,0,1,0
501,0,0,0,0,0,0,1
251,0,0,0,0,0,1,0
5139,0,0,0,0,1,0,0
