duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
60,0,0,0,0,0,1,0
60,0,0,0,0,0,0,1
60,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
1944,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
341,0,0,0,0,0,1,0
1322,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
1462,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
1493,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
1403,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
471,0,0,0,0,0,1,0
2495,0,0,0,0,1,0,0
1542,0,0,0,0,0,1,0
2935,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
181,0,0,0,0,1,0,0
200,0,0,0,0,0,0,1
150,0,0,0,0,1,0,0
71,0,0,0,0,0,0,1
230,0,0,0,0,1,0,0
400,0,0,0,0,0,1,0
792,0,0,0,0,1,0,0
781,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
2374,0,0,0,0,1,0,0
471,0,0,0,0,0,1,0
131,0,0,0,0,0,0,1
301,0,0,0,0,1,0,0
1152,0,0,0,0,0,1,0
651,0,0,0,0,1,0,0
481,0,0,0,0,0,1,0
40,0,0,0,0,0,0,1
3867,0,0,0,0,1,0,0
