duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
0,0,0,0,0,0,0,1
1122,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1
471,0,0,0,0,1,0,0
1272,0,0,0,0,0,0,1
50,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
682,0,0,0,0,1,0,0
2775,0,1,0,0,0,0,0
221,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
681,0,1,0,0,0,0,0
160,0,0,0,0,0,0,1
1292,0,0,0,0,1,0,0
1212,0,0,0,0,0,0,1
1533,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0
822,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
621,0,0,0,0,1,0,0
331,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
2244,0,0,0,0,0,1,0
982,0,0,0,0,1,0,0
1202,0,0,0,0,0,0,1
2906,0,0,0,0,0,1,0
381,0,0,0,0,0,0,1
5680,0,0,0,0,0,1,0
